Yes	0	0
OK	1	0
That's great!	2	0
Me too!	3	0
Thank you	4	0
Thanks	4	0
No	5	0
Yeah	6	0
Sure	7	0
I know	8	0
I don't know	9	0
Really?	10	0
Great!	11	0
No problem	12	0
Of course!	13	0
What?	14	1
I see	15	0
Absolutely	16	0
Oh no!	17	0
Why?	18	1
Exactly!	19	0
Wow!	2	0
That sounds great!	20	0
I'm sorry to hear that	21	0
Good	22	0
You're welcome	23	0
I agree	24	0
That's cool	25	0
Cool	26	0
Nice!	11	0
That's true	27	0
All right	28	0
What do you mean?	29	1
That's good	30	0
Yeah, I know	31	0
I hope so	32	0
That's right	33	0
Lol	34	0
Right	33	0
That sounds like fun	35	0
It is	36	1
Haha	34	0
Fine	37	0
I'm sorry	21	0
Yes, I do	38	0
Not really	39	0
Yeah, me too	40	0
Why not?	18	1
Hi!	41	0
That's fine	42	0
Yep	6	0
I'm not sure	9	0
What happened?	43	0
Thank you very much	44	0
Not much	45	0
Yes, it is	46	0
Definitely	16	0
You're right	47	0
I understand	8	0
Oh, wow!	48	0
Oh, that's cool!	48	0
Awesome!	11	0
Don't worry	49	0
Oh, I see	15	0
True	27	0
Yeah, I guess you're right	50	0
That's amazing!	2	0
Yes, I am	51	0
Maybe	32	0
That's a good idea	52	0
OK, thanks	53	0
Not yet	54	0
That makes sense	55	0
Let me see	15	0
I can imagine	32	0
I know, right?	56	1
I will	57	1
No, thanks	58	0
Certainly	0	0
What is it?	43	1
I know what you mean	8	0
Oh, yes	59	0
Not at all	39	0
Hey!	41	0
Nope	5	0
I bet	32	0
Thank you so much!	44	0
That would be great!	52	0
Yes, of course	0	0
I do	60	1
You should!	57	0
Here you are	61	0
Bye	37	0
I'm good	62	0
Good idea	63	0
Yes, I did	64	0
I'm not sure yet	9	0
Sounds good	20	0
Perfect!	11	0
Yes, sir	65	1
I am	66	0
I think so	32	0
Thanks a lot	67	0
Oh, really?	10	0
That sounds interesting	25	0
That is great	2	0
That's good to hear	68	0
Yeah, I know what you mean	31	0
That's great to hear!	68	0
I'm doing well, thank you	62	0
Yup	6	0
Yes, please	7	0
Are you sure?	69	0
Congratulations!	44	0
No way!	70	0
Same here	3	0
Hello!	41	0
That's too bad	30	0
It's okay	21	0
Oh, okay	59	0
Yeah, it is	71	0
What are you talking about?	29	0
I don't think so	9	0
Yeah, I think so	71	0
That's terrible!	30	0
Alright	37	0
Oh, cool!	48	0
What's that?	43	1
Oh, yeah	59	0
Come on	72	0
That's nice	25	0
I'm glad to hear that	68	0
What?!	73	0
Good luck!	44	0
Yeah, I can imagine	71	0
See you	74	0
That's interesting	25	0
You too!	75	0
Yeah, I know how that is	31	0
No, not really	39	0
That's a great idea!	52	0
Why is that?	18	0
Oh, that's great!	2	0
Thanks, I appreciate that	68	0
That's so cool!	2	0
Thanks, Mom	4	1
Sounds good to me	20	0
Not bad	76	0
I guess you're right	47	0
That sounds like a good plan	52	0
I did	77	0
That is awesome	2	0
Sorry	21	0
Sure thing	7	0
Nice to meet you too	75	0
Yeah, I guess so	71	0
That's understandable	28	0
Like what?	78	1
I guess so	32	0
Good for you!	62	0
Mr	79	0
That sucks	80	0
Of course not!	39	0
Thanks, I will	57	0
Wow, that's amazing!	2	0
Yeah?	81	0
It was good	82	0
Yes, I have	83	0
That sounds good	20	0
I can understand that	8	0
Good morning	84	0
What's wrong?	85	0
That sounds nice	20	0
Indeed	86	0
I have no idea	9	0
Nothing	87	1
Yeah, that's true	88	0
Yeah, definitely	71	0
Ha!	34	0
Yes, that's right	89	0
No, I don't	90	0
No, I haven't	91	0
And?	10	1
Where?	43	0
I know how you feel	8	0
Yea	86	0
Don't mention it	49	0
That's all right	28	0
What's up?	85	0
How come?	18	0
So?	10	1
That's not true!	92	0
Great, thank you	67	0
I'm fine	42	0
Oh, man	59	1
I'm doing well	62	0
Me neither	93	0
It was	82	1
Let me take a look	15	0
That sounds really tough	94	0
Interesting	25	0
That sounds like a great idea!	52	0
Sure, no problem	12	0
That sounds like a good idea	52	0
Yes?	95	0
Oh my god!	48	0
No, why?	18	0
For sure	96	0
Yeah, I'm fine	97	0
Tell me about it	15	0
Oh, come on	72	0
I know right!	34	0
Sounds great!	20	0
Very good!	22	0
Oh, yeah?	81	0
Oh, I'm sorry	21	0
No, I don't think so	9	0
Here you go	98	0
I'm doing alright	62	0
Yeah, that would be great	99	0
No, no	100	1
That's great news!	2	0
OMG!	34	0
It was great!	82	0
Got it	101	0
Which one?	43	0
Are you kidding?	102	0
Are you serious?	102	0
Oh, nice!	48	0
Yeah, sure	7	0
Excellent!	11	0
When?	103	0
Let's see...	15	0
Yes, we do	38	0
I'm glad you like it	104	0
That sounds perfect!	20	0
No problem at all	12	0
I'm so sorry	21	0
It doesn't matter	49	0
Who?	43	1
Yeah, no problem	12	0
I know, me too	3	0
I'd love to!	57	0
That's so sad	80	0
Thx	23	0
Anything else?	85	0
I hear you	3	0
Sure, what's up?	85	0
That is terrible	30	0
Can't wait!	105	0
Will do!	57	0
So what?	78	1
Yes, thank you	0	0
Huh?	81	1
Oh, right	59	0
Oh, that sounds fun!	35	0
It's great!	106	0
It's no problem	12	0
OK. Here you are	107	0
I love it!	106	0
It really is	36	0
That's not good	108	0
I'm sorry, sir	79	1
No, I'm not	109	1
I've been good	62	0
No, I didn't	110	0
But why?	18	0
Yeah, I agree	111	0
They are!	112	0
Ok, no problem	12	0
It's a lot of fun!	35	0
I think so too	96	0
Yes, I will	113	0
Agreed	24	0
Really	114	0
Okay then	1	0
I'm afraid not	115	0
I guess	32	0
My pleasure	23	0
I hope so too	32	0
That's exciting!	35	0
Sounds like a plan!	52	0
What for?	14	1
Yeah, that sounds good	116	0
Totally	19	0
How?	43	1
Thank you, sir	4	1
Same	3	1
I'm sure it is	36	0
Oh no, what happened?	78	0
Maybe you're right	47	0
Love you too	117	0
No worries	12	0
No idea	9	0
I can't	118	1
I know, I'm sorry	21	0
Great idea!	63	0
Yeah, I know how you feel	31	0
OK, I will	113	0
Wait!	34	1
How about this one?	119	0
Oh, that's too bad	30	0
I'm sure you will	57	0
Congrats!	44	0
OK, sir	65	1
I don't care	49	1
Wonderful!	11	0
Why do you say that?	29	0
I completely agree	24	0
That's pretty cool	25	0
Sure, what is it?	120	0
Okay, sounds good	116	0
Whatever	26	1
Oh, thank you!	48	0
Ouch!	34	0
How much?	121	0
Do you have any hobbies?	122	0
Yeah, that's a good idea	99	0
That's very kind of you	123	0
How much is it?	121	0
What's the problem?	85	0
Right?	56	1
It's my pleasure	23	0
That would be fun!	35	0
That's not fair!	70	0
What did you do?	43	0
I'm good, thanks	67	0
Yes, it was	124	0
Yeah, that makes sense	125	0
Yeah, I can understand that	31	0
Where are you going?	126	0
What a pity!	80	0
Aww	34	0
I couldn't agree more	127	0
That sounds delicious!	20	0
Oh my!	48	0
Oh, me too!	3	0
Please	26	0
You said it	26	0
That would be great, thank you	52	0
Thanks! I hope so	44	0
Goodbye	37	0
That's terrific!	2	0
See you then!	74	0
Pretty good	22	0
Anytime	128	0
Oh, great!	48	0
Hahahaha	34	0
Wait a minute	72	0
Yes, they are	46	0
Hmmm...	86	1
What's the matter?	85	0
Look	26	1
Lucky you!	123	0
So do I	60	0
Aww, that's so sweet!	2	0
Yikes!	34	0
No, sir	129	1
Very well	22	0
Yeah, I think so too	71	0
That sounds really cool!	20	0
Well, let's see	15	0
I do too	3	0
Okay, okay	1	1
That is so true	27	0
Really? Why?	10	0
Oh?	81	0
Nah	130	0
Thank you, boss	4	1
Thank you for your help	128	0
That's a shame	80	0
Yeah, right	89	0
Cheers!	44	0
Yeah, I can see that	131	0
It does	132	0
Yeah, same here	40	0
Oh my goodness!	48	0
No problem, man	12	1
I completely understand	8	0
I know the feeling	3	0
I appreciate that	68	0
OK, see you then	133	0
Dunno	134	1
No, it isn't	135	0
Seriously?	10	1
Yes, you are right	50	0
That will be fine	52	0
I'm in!	136	0
Whoa!	34	0
I would love that!	52	0
Is that right?	56	0
It was okay	82	0
What do you do for work?	122	0
You're kidding	137	0
Why? What happened?	43	0
What? Why?	14	0
Thanks, you too!	75	0
Let me check	15	0
That sounds like so much fun!	35	0
That's a great attitude to have	68	0
Amazing!	11	0
I can tell	15	0
Done	128	0
I don't blame you	138	0
Yeah, I hope so	71	0
No, of course not	5	0
I get it	26	0
I don't really know	9	0
That's it	33	0
What's going on?	85	0
Very nice	11	0
Sweet!	11	0
How exciting!	35	0
I can see that	15	0
That's crazy!	2	0
Hi, how are you?	139	0
It sure is!	36	0
It's no problem at all	12	0
Go ahead	128	0
Do you have any pets?	140	0
Hi there!	41	0
Ugh	59	0
Deal!	11	0
Oh, good	59	0
Sometimes	19	0
Tell me	15	1
How was it?	141	0
Oh my gosh!	48	0
That's tough	94	0
Yay!	11	0
I agree with you	24	0
Y?	81	0
It depends	19	0
Oh, you know	59	0
Oh, that's nice	25	0
It's going well	62	0
Certainly, sir	65	1
Again?	10	0
Oh, that's interesting	25	0
Yeah, they are	46	0
No kidding	142	0
I have	143	0
Where are you from?	126	0
Uh oh	86	1
For what?	14	1
That's strange	80	0
It's okay, I understand	21	0
OK, I see	131	0
Thanks, man	4	1
Well, I don't know	9	0
Oh, God	59	0
I would be too	3	0
Yeah, maybe	71	0
That's a good point	55	0
What is it about?	144	0
That's not too bad	108	0
Me?	140	1
Well, yes	145	0
I see. Thank you	15	0
You think so?	69	0
That sounds fine	20	0
I'm sure	32	0
I feel the same way	3	0
Mmmm	34	1
Umm...	86	0
Well done!	44	0
Ok, great	1	0
I'll try	146	0
See ya!	74	0
It's not your fault	138	0
I don't understand	9	0
Good job!	44	0
What time?	103	0
Ok, cool	1	0
Oh, sure	147	0
Here it is	98	0
I'm doing great!	62	0
How are you?	139	0
Very true	27	0
Where is it?	43	0
It definitely is	36	0
Okey	26	0
That's nice of you	123	0
That stinks	80	0
What are you doing?	139	0
Are you ok?	148	0
What about it?	78	0
Very cool	11	0
It's true	27	0
That sounds exciting!	35	0
Yes, I was	51	0
What are you going to do?	126	0
Yes, sure	7	0
Maybe I will	57	0
Fantastic!	11	0
Not much, just hanging out	87	0
You sure?	120	0
